bab1	modEncode_628
bap	E-TABM-648
bcd	GSM1228847
bcd	bdtnpBcd1Fdr1
bin	E-TABM-652
br	modEncode_3806
cyc	GSM994682
cyc	GSM994694
D	bdtnpD1Fdr1
D	modEncode_3395
da	bdtnpDa2Fdr1
Dll	modEncode_4974
EcR	modEncode_2641
EcR	modEncode_2642
Fer3	modEncode_3826
GATAe	modEncode_2573
grh	GSM2199201
gt	GSM1228849
gt	bdtnpGt2Fdr1
h	bdtnpH1Fdr1
hkb	bdtnpHkb1Fdr1
Hr3	modEncode_5023
Hr39	modEncode_3390
Hr78	modEncode_4998
hth	modEncode_4070
kn	modEncode_618
Kr	GSM1228853
Kr	bdtnpKr1Fdr1
lola	modEncode_5004
Mad	bdtnpMad2Fdr1
Med	bdtnpMed2Fdr1
Myc	modEncode_5008
prd	modEncode_4095
prd	modEncode_4096
run	bdtnpRun1Fdr1
sna	bdtnpSna1Fdr1
Stat92E	modEncode_616
Stat92E	GSM1645140
Su(H)	modEncode_5017
tgo	modEncode_5025
tin	E-TABM-650
tll	bdtnpTll1Fdr1
Trl	modEncode_5028
ttk	modEncode_615
z	bdtnpZ2Fdr1
zfh1	modEncode_604
ZIPIC	GSM2042226
zld	GSM763061
